product_id,supplier_id,product_code,priorityIndex,measure_id,qty_of_measure,abbreviation
07C0yWr6BmvQjLn1WObF,XzKzAD6uPnLz7JLKBFqn,2010018,1.0,RtSe4oh5jnIeUSdNH74A,18.14,CA
07C0yWr6BmvQjLn1WObF,nl335PEacrsOYpqR8HRl,2540005,5.0,4mwgSAFKoNSRfDIZykoL,88.0,CS
07C0yWr6BmvQjLn1WObF,XcPgAjJ8DQ8HxC6VT2g0,06354,7.0,RtSe4oh5jnIeUSdNH74A,18.14,CS
07C0yWr6BmvQjLn1WObF,UeRNZf0p9FHnx54VTu5j,700441,0.0,4mwgSAFKoNSRfDIZykoL,88.0,CS
07aab184e6505a054abf9fb83e203630,nl335PEacrsOYpqR8HRl,1980029,0.0,4mwgSAFKoNSRfDIZykoL,9.0,CS
07ry5dZMHnGCUqacvJiE,UeRNZf0p9FHnx54VTu5j,102574,1.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
07ry5dZMHnGCUqacvJiE,UeRNZf0p9FHnx54VTu5j,102574,1.0,RtSe4oh5jnIeUSdNH74A,5.0,CS
07ry5dZMHnGCUqacvJiE,UeRNZf0p9FHnx54VTu5j,108032,0.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
07ry5dZMHnGCUqacvJiE,UeRNZf0p9FHnx54VTu5j,108032,0.0,4mwgSAFKoNSRfDIZykoL,2.0,CS
07ry5dZMHnGCUqacvJiE,UeRNZf0p9FHnx54VTu5j,108032,0.0,4mwgSAFKoNSRfDIZykoL,1.0,UN
07ry5dZMHnGCUqacvJiE,lgC65pLLT7GLoqDFFEx3,12060,2.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
08972b9e5d7a6d1360650eb9bb4b0f92,6O1FtPg5V9woBCwOqtY2,41489,0.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
094e0530a68f3007414c1b8a6160f28a,UeRNZf0p9FHnx54VTu5j,211301,0.0,4mwgSAFKoNSRfDIZykoL,1.0,CS
094e0530a68f3007414c1b8a6160f28a,UeRNZf0p9FHnx54VTu5j,211301,0.0,3yEPH8i3xLX8vwwLjfkd,454.0,UN
099b01c547075b497ee6f30e1419106c,XzKzAD6uPnLz7JLKBFqn,1356251,0.0,4mwgSAFKoNSRfDIZykoL,100.0,CS
099b01c547075b497ee6f30e1419106c,XzKzAD6uPnLz7JLKBFqn,1356251,0.0,4mwgSAFKoNSRfDIZykoL,100.0,CA
0Beu6xdtkkAEhfMISbbJ,h0lNA4LDSjkRwCqa3nC5,CSTAD-73-50,0.0,4mwgSAFKoNSRfDIZykoL,50.0,UNITE(S)
0F9a7BoWH1Syi8Uy4RaJ,evXbNYK4Y8iNzMYaxAWx,,0.0,,,
0F9a7BoWH1Syi8Uy4RaJ,2YbkFlGIasSqv7fjssPs,13995027,1.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0FpLo36ZdE20cyox9LoL,onnT0XndSKtN1Oq5xK9l,DI002910,0.0,4mwgSAFKoNSRfDIZykoL,1.0,UNITE
0Fu40JcvzkZqXLjDHabg,onnT0XndSKtN1Oq5xK9l,PS0705,0.0,4mwgSAFKoNSRfDIZykoL,10.0,BOITE
0Fu40JcvzkZqXLjDHabg,onnT0XndSKtN1Oq5xK9l,PS0705,0.0,4mwgSAFKoNSRfDIZykoL,10.0,CAISSE 
0Fu40JcvzkZqXLjDHabg,onnT0XndSKtN1Oq5xK9l,PS0705,0.0,,40.0,CA
0H2MPTIkPm9EOHUIEngM,OBOzBln3x979FhatnaeE,,0.0,3yEPH8i3xLX8vwwLjfkd,2000.0,12
0SS6s66LXW99c74bpGzu,XzKzAD6uPnLz7JLKBFqn,6105178,0.0,4mwgSAFKoNSRfDIZykoL,6.0,CS
