FamilyTitle,FamilyCode,ClassTitle,ClassCode,BrickTitle,BrickCode,AttributeTitle,AttributeCode,AttributeValueTitle,AttributeValueCode,AttributeValueDefinition,searchable_text,searchable_text_uncleaned,stl_embedding,uuid,ref_uuid
Food/Beverage Variety Packs,50230000,Food/Beverage Variety Packs,50230100,Food/Beverage Variety Packs,10000590,,,,,,FOOD BEVERAGE VARIETY PACKS,FOOD/BEVERAGE VARIETY PACKS ,[],4df09bf2-53e6-4359-85d1-9350efa2fdc5,
Beverages,50200000,Alcoholic Beverages (Includes De-Alcoholised Variants),50202200,Alcoholic Beverages Variety Packs,10000591,,,,,,ALCOHOLIC BEVERAGES VARIETY PACKS,ALCOHOLIC BEVERAGES VARIETY PACKS ,[],b746b52a-9709-44e3-9f63-9870bb4ab9b7,
Beverages,50200000,Coffee/Tea/Substitutes,50201700,Coffee/Tea/Substitutes Variety Packs,10000592,,,,,,COFFEE TEA SUBSTITUTES VARIETY PACKS,COFFEE/TEA/SUBSTITUTES VARIETY PACKS ,[],21f57ccb-4bca-468b-b135-e585a232812b,
Beverages,50200000,Non Alcoholic Beverages - Not Ready to Drink,50202400,Non Alcoholic Beverages Variety Packs - Not Ready to Drink,10000593,,,,,,NON ALCOHOLIC BEVERAGES VARIETY PACKS NOT READY TO DRINK,NON ALCOHOLIC BEVERAGES VARIETY PACKS - NOT READY TO DRINK ,[],124376d1-26a9-4bae-bb58-50dd55a049c6,
Beverages,50200000,Non Alcoholic Beverages - Ready to Drink,50202300,Non Alcoholic Beverages Variety Packs - Ready to Drink,10000594,,,,,,NON ALCOHOLIC BEVERAGES VARIETY PACKS READY TO DRINK,NON ALCOHOLIC BEVERAGES VARIETY PACKS - READY TO DRINK ,[],63bfd639-06a9-49ef-8731-c39ecf555ae5,
Bread/Bakery Products,50180000,Baking/Cooking Mixes/Supplies,50181700,Baking/Cooking Mixes/Supplies Variety Packs,10000595,,,,,,BAKING COOKING MIXES SUPPLIES VARIETY PACKS,BAKING/COOKING MIXES/SUPPLIES VARIETY PACKS ,[],7abcfc47-f5e3-4a35-9854-a6242fbc2c07,
Bread/Bakery Products,50180000,Biscuits/Cookies,50182100,Biscuits/Cookies Variety Packs,10000596,,,,,,BISCUITS COOKIES VARIETY PACKS,BISCUITS/COOKIES VARIETY PACKS ,[],760382c4-ea85-48b7-a2b3-678393cd2196,
Bread/Bakery Products,50180000,Sweet Bakery Products,50182000,Sweet Bakery Products Variety Packs,10000597,,,,,,SWEET BAKERY PRODUCTS VARIETY PACKS,SWEET BAKERY PRODUCTS VARIETY PACKS ,[],b75ec6b2-b950-42de-aa8c-aa6daa6fac82,
Bread/Bakery Products,50180000,Bread/Bakery Products Variety Packs,50182300,Bread/Bakery Products Variety Packs,10000598,,,,,,BREAD BAKERY PRODUCTS VARIETY PACKS,BREAD/BAKERY PRODUCTS VARIETY PACKS ,[],a45d8081-4d7a-4aa8-944c-0c5fa85bc033,
Cereal/Grain/Pulse Products,50220000,Grains/Flour,50221000,Grains/Flour Variety Packs,10000599,,,,,,GRAINS FLOUR VARIETY PACKS,GRAINS/FLOUR VARIETY PACKS ,[],1965c8e6-035d-4514-a05e-96614fb05c3e,
Cereal/Grain/Pulse Products,50220000,Processed Cereal Products,50221200,Processed Cereal Products Variety Packs,10000600,,,,,,PROCESSED CEREAL PRODUCTS VARIETY PACKS,PROCESSED CEREAL PRODUCTS VARIETY PACKS ,[],705f4df5-9da8-4d66-a4ad-10f710f98cf2,
Cereal/Grain/Pulse Products,50220000,Cereal/Grain/Pulse Products Variety Packs,50221300,Cereal/Grain/Pulse Products Variety Packs,10000601,,,,,,CEREAL GRAIN PULSE PRODUCTS VARIETY PACKS,CEREAL/GRAIN/PULSE PRODUCTS VARIETY PACKS ,[],cec69591-e5cc-4749-b9ae-e8288f82a74b,
Confectionery/Sugar Sweetening Products,50160000,Confectionery Products,50161800,Confectionery Products Variety Packs,10000602,,,,,,CONFECTIONERY PRODUCTS VARIETY PACKS,CONFECTIONERY PRODUCTS VARIETY PACKS ,[],11df2e14-0cd1-4841-b3d3-7d83a558bc7b,
Confectionery/Sugar Sweetening Products,50160000,Sugars/Sugar Substitute Products,50161500,Sugars/Sugar Substitute Products Variety Packs,10000603,,,,,,SUGARS SUGAR SUBSTITUTE PRODUCTS VARIETY PACKS,SUGARS/SUGAR SUBSTITUTE PRODUCTS VARIETY PACKS ,[],172af93e-9779-4757-9702-ebc160de5f41,
Fruits/Vegetables/Nuts/Seeds Prepared/Processed,50100000,Fruit/Nuts/Seeds Combination,50101900,Fruit/Nuts/Seeds Combination Variety Packs,10000604,,,,,,FRUIT NUTS SEEDS COMBINATION VARIETY PACKS,FRUIT/NUTS/SEEDS COMBINATION VARIETY PACKS ,[],9072dd6c-fa55-4a16-a058-4c560386e2b8,
Fruits/Vegetables/Nuts/Seeds Prepared/Processed,50100000,Fruits/Vegetables/Nuts/Seeds Variety Packs,50102200,Fruits/Vegetables/Nuts/Seeds Variety Packs,10000605,,,,,,FRUITS VEGETABLES NUTS SEEDS VARIETY PACKS,FRUITS/VEGETABLES/NUTS/SEEDS VARIETY PACKS ,[],662568f4-a692-43dc-99c4-50996cc8682b,
Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,50130000,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,50132200,Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes Variety Packs,10000607,,,,,,MILK BUTTER CREAM YOGURTS CHEESE EGGS SUBSTITUTES VARIETY PACKS,MILK/BUTTER/CREAM/YOGURTS/CHEESE/EGGS/SUBSTITUTES VARIETY PACKS ,[],a754f6e0-cb1c-4a12-8175-f0ff179e67ac,
Oils/Fats Edible,50150000,Fats Edible,50151600,Fats Edible Variety Packs,10000608,,,,,,FATS EDIBLE VARIETY PACKS,FATS EDIBLE VARIETY PACKS ,[],68cd596e-81db-4425-8b90-abe4b7690a06,
Oils/Fats Edible,50150000,Oils/Fats Edible Variety Packs,50151700,Oils/Fats Edible Variety Packs,10000609,,,,,,OILS FATS EDIBLE VARIETY PACKS,OILS/FATS EDIBLE VARIETY PACKS ,[],a7acff05-a747-43ee-a6e2-5ea4fa13dc70,
Prepared/Preserved Foods,50190000,Baby/Infant - Foods/Beverages,50193000,Baby/Infant - Foods/Beverages Variety Packs,10000610,,,,,,BABY INFANT FOODS BEVERAGES VARIETY PACKS,BABY/INFANT - FOODS/BEVERAGES VARIETY PACKS ,[],f0fa0192-e7ea-4106-abe3-3cddd4da08ad,
Prepared/Preserved Foods,50190000,Desserts/Desserts Substitutes/Dessert Sauces/Toppings,50192300,Desserts/Dessert Toppings Variety Packs,10000611,,,,,,DESSERTS DESSERT TOPPINGS VARIETY PACKS,DESSERTS/DESSERT TOPPINGS VARIETY PACKS ,[],16f299d8-5e69-4b91-b888-207b37e26984,
Prepared/Preserved Foods,50190000,Snacks,50192100,Snacks Variety Packs,10000612,,,,,,SNACKS VARIETY PACKS,SNACKS VARIETY PACKS ,[],bca0ea49-7578-4439-921b-fc44ef561cb8,
Prepared/Preserved Foods,50190000,Prepared/Preserved Foods Variety Packs,50193400,Prepared/Preserved Foods Variety Packs,10000613,,,,,,PREPARED PRESERVED FOODS VARIETY PACKS,PREPARED/PRESERVED FOODS VARIETY PACKS ,[],ff893ae6-0dd9-4390-804e-fde5ca23cf24,
Fish and Seafood,50120000,Seafood Variety Packs,50122400,Seafood Variety Packs,10000614,,,,,,SEAFOOD VARIETY PACKS,SEAFOOD VARIETY PACKS ,[],73b7d115-e2a4-4e7e-9559-bca0dd30d459,
Seasonings/Preservatives/Extracts,50170000,Herbs/Spices/Extracts,50171500,Herbs/Spices/Extracts Variety Packs,10000615,,,,,,HERBS SPICES EXTRACTS VARIETY PACKS,HERBS/SPICES/EXTRACTS VARIETY PACKS ,[],0579b48c-ac97-42b9-a029-87b55ef4876b,
Seasonings/Preservatives/Extracts,50170000,Pickles/Relishes/Chutneys/Olives,50171900,Pickles/Relishes/Chutneys/Olives Variety Packs,10000616,,,,,,PICKLES RELISHES CHUTNEYS OLIVES VARIETY PACKS,PICKLES/RELISHES/CHUTNEYS/OLIVES VARIETY PACKS ,[],faccccff-0a89-411e-8610-9b3e825e0f01,
Seasonings/Preservatives/Extracts,50170000,Sauces/Spreads/Dips/Condiments,50171800,Sauces/Spreads/Dips/Condiments Variety Packs,10000617,,,,,,SAUCES SPREADS DIPS CONDIMENTS VARIETY PACKS,SAUCES/SPREADS/DIPS/CONDIMENTS VARIETY PACKS ,[],300a2d77-2449-41ec-9cf5-82fba32361c7,
Seasonings/Preservatives/Extracts,50170000,Vinegars/Cooking Wines,50171700,Vinegars/Cooking Wines Variety Packs,10000618,,,,,,VINEGARS COOKING WINES VARIETY PACKS,VINEGARS/COOKING WINES VARIETY PACKS ,[],c5c0ce2d-6fa8-41d6-9e50-4013f9b0e07e,
Seasonings/Preservatives/Extracts,50170000,Seasonings/Preservatives/Extracts Variety Packs,50172000,Seasonings/Preservatives/Extracts Variety Packs,10000619,,,,,,SEASONINGS PRESERVATIVES EXTRACTS VARIETY PACKS,SEASONINGS/PRESERVATIVES/EXTRACTS VARIETY PACKS ,[],5e8d7b21-4243-4c77-b9e1-1595f51885c4,
Prepared/Preserved Foods,50190000,Sweet Spreads,50192400,Sweet Spreads Variety Packs,10000621,,,,,,SWEET SPREADS VARIETY PACKS,SWEET SPREADS VARIETY PACKS ,[],b8d966f8-7810-4751-92b7-671069283d8c,
Confectionery/Sugar Sweetening Products,50160000,Confectionery/Sugar Sweetening Products Variety Packs,50161900,Confectionery/Sugar Sweetening Products Variety Packs,10000622,,,,,,CONFECTIONERY SUGAR SWEETENING PRODUCTS VARIETY PACKS,CONFECTIONERY/SUGAR SWEETENING PRODUCTS VARIETY PACKS ,[],8588c641-c942-42ef-b5ce-a49bc289a4dc,
Beverages,50200000,Beverages Variety Packs,50202500,Beverages Variety Packs,10000623,,,,,,BEVERAGES VARIETY PACKS,BEVERAGES VARIETY PACKS ,[],10669c41-903e-4e27-bdba-3842df9e9250,
Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),50260000,Tomatoes,50260300,Tomatoes Variety Packs,10006166,,,,,,TOMATOES VARIETY PACKS,TOMATOES VARIETY PACKS ,[],23aff8d3-bcf3-4bbf-aae2-b9117e416676,4b59d0ec-ae13-4b34-8853-c39d28b56de6
Fruits - Unprepared/Unprocessed (Fresh),50250000,Fruits - Unprepared/Unprocessed (Fresh) Variety Packs,50252000,Fruits - Unprepared/Unprocessed (Fresh) Variety Packs,10006172,,,,,,FRUITS UNPREPARED UNPROCESSED FRESH VARIETY PACKS,FRUITS - UNPREPARED/UNPROCESSED (FRESH) VARIETY PACKS ,[],07936883-2e41-4c28-b094-5b06999754d8,37f87401-1aa9-4c0d-b330-f78aea8ab7ab
Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),50260000,Peppers,50260400,Pepper Variety Packs,10006195,,,,,,PEPPER VARIETY PACKS,PEPPER VARIETY PACKS ,[],1fe8860f-8ded-4a44-82d5-73243991cd7b,10b8311c-3d0a-4f74-a341-2ccce484ddc5
Prepared/Preserved Foods,50190000,Prepared Soups,50191500,Soups - Prepared Variety Packs,10006216,,,,,,SOUPS PREPARED VARIETY PACKS,SOUPS - PREPARED VARIETY PACKS ,[],0f102f03-7ee6-404c-bd0c-25701467ac86,
Prepared/Preserved Foods,50190000,Sandwiches/Filled Rolls/Wraps,50192500,Sandwiches/Filled Rolls/Wraps Variety Packs,10006217,,,,,,SANDWICHES FILLED ROLLS WRAPS VARIETY PACKS,SANDWICHES/FILLED ROLLS/WRAPS VARIETY PACKS ,[],68835185-a6c0-4212-b06c-c34513ea2b48,
Prepared/Preserved Foods,50190000,Pasta/Noodles,50192900,Pasta/Noodles Variety Packs,10006219,,,,,,PASTA NOODLES VARIETY PACKS,PASTA/NOODLES VARIETY PACKS ,[],70e27b3c-50c6-43c4-b57c-a7a019faf8d1,
Prepared/Preserved Foods,50190000,Vegetable Based Products / Meals,50193100,Vegetable Based Products / Meals Variety Packs,10006221,,,,,,VEGETABLE BASED PRODUCTS MEALS VARIETY PACKS,VEGETABLE BASED PRODUCTS / MEALS VARIETY PACKS ,[],e8b80c5e-013b-4330-90d2-169ac0822dc2,
Prepared/Preserved Foods,50190000,Dough Based Products / Meals,50193300,Dough Based Products / Meals Variety Packs,10006222,,,,,,DOUGH BASED PRODUCTS MEALS VARIETY PACKS,DOUGH BASED PRODUCTS / MEALS VARIETY PACKS ,[],ce7d92be-1e11-4e7f-9417-b7fb1264418c,
Prepared/Preserved Foods,50190000,Grain Based Products / Meals,50193200,Grain Based Products / Meals Variety Packs,10006228,,,,,,GRAIN BASED PRODUCTS MEALS VARIETY PACKS,GRAIN BASED PRODUCTS / MEALS VARIETY PACKS ,[],d50abbb7-4857-4b9a-95f2-393dd50cc932,
Prepared/Preserved Foods,50190000,Dairy/Egg Based Products / Meals,50193500,Dairy/Egg Based Products / Meals Variety Packs,10006229,,,,,,DAIRY EGG BASED PRODUCTS MEALS VARIETY PACKS,DAIRY/EGG BASED PRODUCTS / MEALS VARIETY PACKS ,[],38ca0056-0e91-4b03-a71c-c4704b9d3e1d,
Meat/Fish/Seafood Substitutes,50390000,Meat Substitutes,50390100,Meat Substitutes Variety Packs,10006230,,,,,,MEAT SUBSTITUTES VARIETY PACKS,MEAT SUBSTITUTES VARIETY PACKS ,[],74956b57-7728-479d-a92e-c69b9d6e8383,
Leaf Vegetables - Unprepared/Unprocessed (Fresh),50350000,Leaf Vegetables - Unprepared/Unprocessed Variety Packs,50350600,Leaf Vegetables - Unprepared/Unprocessed Variety Packs,10006428,,,,,,LEAF VEGETABLES UNPREPARED UNPROCESSED VARIETY PACKS,LEAF VEGETABLES - UNPREPARED/UNPROCESSED VARIETY PACKS ,[],f8098c2a-c5d6-4633-a7c6-78641849ef1d,8e1e91a9-a68d-4432-900d-4cbe5667d4f2
Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),50260000,Herbs,50261300,Herbs Variety Pack,10006456,,,,,,HERBS VARIETY PACK,HERBS VARIETY PACK ,[],0af998cd-8075-447d-bb6b-ea9fbfaa7f22,dfbb0ce0-90b7-4ac1-a9ac-fc16a956861c
Prepared/Preserved Foods,50190000,Snacks,50192100,Doodles/ Puffs,10006746,,,,,,DOODLES PUFFS,DOODLES/ PUFFS ,[],c91acf2d-6fb0-4bcb-a6e4-abeb66bfa754,
Prepared/Preserved Foods,50190000,Snacks,50192100,Salt Sticks / Mini Pretzels,10006747,,,,,,SALT STICKS MINI PRETZELS,SALT STICKS / MINI PRETZELS ,[],1a672d5a-1623-44dc-957a-ee3da0ee91df,
Prepared/Preserved Foods,50190000,Ready-Made Combination Meals,50193800,Ready-Made Combination Meals - Ready to Eat Variety Packs,10006753,,,,,,READY MADE COMBINATION MEALS READY TO EAT VARIETY PACKS,READY-MADE COMBINATION MEALS - READY TO EAT VARIETY PACKS ,[],75e08a86-e143-4494-808c-637ab7a927bb,
Prepared/Preserved Foods,50190000,Ready-Made Combination Meals,50193800,Ready-Made Combination Meals - Not Ready to Eat Variety Packs,10006754,,,,,,READY MADE COMBINATION MEALS NOT READY TO EAT VARIETY PACKS,READY-MADE COMBINATION MEALS - NOT READY TO EAT VARIETY PACKS ,[],6a3ee715-14c9-4f10-809c-b7e6332ddc07,
Prepared/Preserved Foods,50190000,Snacks,50192100,Snacks Other,10007276,,,,,,SNACKS OTHER,SNACKS OTHER ,[],ec892feb-02f9-4b06-bfb5-6092a375da41,
Fruits - Unprepared/Unprocessed (Fresh),50250000,Berries/Small Fruit,50251000,Small Fruit Variety Packs,10008027,,,,,,SMALL FRUIT VARIETY PACKS,SMALL FRUIT VARIETY PACKS ,[],75150f48-0baa-4ca2-b895-57d7ec9ed3f9,b5875740-8358-4a6c-99c3-a00c0b7e8d23
Beverages,50200000,Alcoholic Beverages (Includes De-Alcoholised Variants),50202200,Pre-mixed Drinks - Non-Alcoholic,10008035,,,,,,PRE MIXED DRINKS NON ALCOHOLIC,PRE-MIXED DRINKS - NON-ALCOHOLIC ,[],56c1171b-4f82-4bb5-a349-161206c8104e,
Fresh Garnish (Food),50360000,Fresh Garnish (Food),50360100,Banana Leaves (food garnish),10008039,,,,,,BANANA LEAVES FOOD GARNISH,BANANA LEAVES (FOOD GARNISH) ,[],2860c4ab-1b04-463f-9ebc-05e11e8c361a,
Fresh Garnish (Food),50360000,Fresh Garnish (Food),50360100,Cactus Leaves (food garnish),10008040,,,,,,CACTUS LEAVES FOOD GARNISH,CACTUS LEAVES (FOOD GARNISH) ,[],6423d562-a4af-4e67-b5c5-faa4083f0cf0,
Fresh Garnish (Food),50360000,Fresh Garnish (Food),50360100,Orange Blossom (food garnish),10008041,,,,,,ORANGE BLOSSOM FOOD GARNISH,ORANGE BLOSSOM (FOOD GARNISH) ,[],fb623c05-8c2e-4b74-9b1a-8d7921d533e9,
Beverages,50200000,Alcoholic Beverages (Includes De-Alcoholised Variants),50202200,Alcohol Flavouring Kit,10008042,,,,,,ALCOHOL FLAVOURING KIT,ALCOHOL FLAVOURING KIT ,[],bb4533c6-7bb2-419b-a0b9-fbeaac45beb4,
Food/Beverage Variety Packs,50230000,Food/Beverage Variety Packs,50230100,Military - Rations,10008058,,,,,,MILITARY RATIONS,MILITARY - RATIONS ,[],ab1f6d90-7a7e-4062-a08a-31c44d0d626d,
Cereal/Grain/Pulse Products,50220000,Processed Cereal Products,50221200,Protein Bars,10008059,,,,,,PROTEIN BARS,PROTEIN BARS ,[],0dc62904-0cb9-4726-a91c-119f4d4946ac,
Fruits/Vegetables Fresh & Fresh Cut,50370000,Fruits/Vegetables Variety Packs Unprepared/Unprocessed (Fresh),50370100,Fruits/Vegetables Variety Packs Unprepared/Unprocessed (Fresh),10008188,,,,,,FRUITS VEGETABLES VARIETY PACKS UNPREPARED UNPROCESSED FRESH,FRUITS/VEGETABLES VARIETY PACKS UNPREPARED/UNPROCESSED (FRESH) ,[],8816a086-2be2-4315-b250-27ebbd3437b1,568bc83c-62d7-40eb-be68-c2d4fffc4e63
Fruits/Vegetables Fresh & Fresh Cut,50370000,Vegetables/Fruits Variety Pack - Fresh Cut,50370200,Vegetables/Fruits Variety Pack - Fresh Cut,10008189,,,,,,VEGETABLES FRUITS VARIETY PACK FRESH CUT,VEGETABLES/FRUITS VARIETY PACK - FRESH CUT ,[],c7067b2c-07eb-44ac-94ae-006e75f1236b,453b5783-e82e-4328-b010-19adba910c2b
Fruits/Vegetables Fresh Cut,50380000,Fruits - Fresh Cut,50380100,Citrus - (Fresh Cut),10008190,,,,,,CITRUS FRESH CUT,CITRUS - (FRESH CUT) ,[],517d92e1-5f4a-44ea-9bc9-c2593bb864a9,
